School,Dept,Major,no. of Students,year,semester name,slot no,semester number
SLASS,Eng,BA - English Language Teaching,8,2013,Summer,1,2
SLASS,Eng,BA - English Literature,11,2013,Summer,1,2
SoB,BBA,BBA - Accounting,129,2013,Summer,1,2
SoB,BBA,BBA - Finance,199,2013,Summer,1,2
SoB,BBA,BBA - General Management,14,2013,Summer,1,2
SoB,BBA,BBA - Human Resources Management,41,2013,Summer,1,2
SoB,BBA,BBA - International Business,23,2013,Summer,1,2
SoB,BBA,BBA - Investment Management,3,2013,Summer,1,2
SoB,BBA,BBA - Management Information Systems,10,2013,Summer,1,2
SoB,BBA,BBA - Marketing,84,2013,Summer,1,2
SLASS,SOC,BSS - Anthropology,2,2013,Summer,1,2
SLASS,MED,BSS - Media and Communication,17,2013,Summer,1,2
SLS,SLS,BSc - Biochemistry,2,2013,Summer,1,2
SECS,CSE,BSc - Computer Engineering,69,2013,Summer,1,2
SECS,CSE,BSc - Computer Science,25,2013,Summer,1,2
SoB,ECO,BSc - Economics,11,2013,Summer,1,2
SECS,EEE,BSc - Electrical and Electronic Engineering,82,2013,Summer,1,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,26,2013,Summer,1,2
SESM,EMgt,BSc - Environmental Science,3,2013,Summer,1,2
SLS,SLS,BSc - Microbiology,16,2013,Summer,1,2
SESM,POP,BSc - Population Environment,1,2013,Summer,1,2
SoB,BBA,BBA - Accounting,29,2013,Summer,2,2
SoB,BBA,BBA - Finance,35,2013,Summer,2,2
SoB,BBA,BBA - General Management,9,2013,Summer,2,2
SoB,BBA,BBA - Human Resources Management,14,2013,Summer,2,2
SoB,BBA,BBA - International Business,3,2013,Summer,2,2
SoB,BBA,BBA - Management Information Systems,3,2013,Summer,2,2
SoB,BBA,BBA - Marketing,24,2013,Summer,2,2
SLASS,SOC,BSS - Anthropology,1,2013,Summer,2,2
SLASS,MED,BSS - Media and Communication,1,2013,Summer,2,2
SLS,SLS,BSc - Biochemistry,1,2013,Summer,2,2
SECS,CSE,BSc - Computer Engineering,14,2013,Summer,2,2
SECS,CSE,BSc - Computer Science,11,2013,Summer,2,2
SECS,EEE,BSc - Electrical and Electronic Engineering,17,2013,Summer,2,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,4,2013,Summer,2,2
SESM,EMgt,BSc - Environmental Science,1,2013,Summer,2,2
SLS,SLS,BSc - Microbiology,4,2013,Summer,2,2
SLASS,Eng,BA - English Language Teaching,3,2013,Autumn,1,3
SLASS,Eng,BA - English Literature,6,2013,Autumn,1,3
SoB,BBA,BBA - Accounting,96,2013,Autumn,1,3
SoB,BBA,BBA - Finance,104,2013,Autumn,1,3
SoB,BBA,BBA - General Management,13,2013,Autumn,1,3
SoB,BBA,BBA - Human Resources Management,19,2013,Autumn,1,3
SoB,BBA,BBA - International Business,18,2013,Autumn,1,3
SoB,BBA,BBA - Investment Management,2,2013,Autumn,1,3
SoB,BBA,BBA - Management Information Systems,4,2013,Autumn,1,3
SoB,BBA,BBA - Marketing,57,2013,Autumn,1,3
SLASS,SOC,BSS - Anthropology,1,2013,Autumn,1,3
SLASS,MED,BSS - Media and Communication,10,2013,Autumn,1,3
SLS,SLS,BSc - Biochemistry,3,2013,Autumn,1,3
SECS,CSE,BSc - Computer Engineering,30,2013,Autumn,1,3
SECS,CSE,BSc - Computer Science,14,2013,Autumn,1,3
SoB,ECO,BSc - Economics,10,2013,Autumn,1,3
SECS,EEE,BSc - Electrical and Electronic Engineering,42,2013,Autumn,1,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,6,2013,Autumn,1,3
SESM,ESc,BSc - Environmental Management,1,2013,Autumn,1,3
SESM,EMgt,BSc - Environmental Science,6,2013,Autumn,1,3
SLS,SLS,BSc - Microbiology,5,2013,Autumn,1,3
SLASS,Eng,BA - English Language Teaching,3,2013,Autumn,2,3
SLASS,Eng,BA - English Literature,5,2013,Autumn,2,3
SoB,BBA,BBA - Accounting,122,2013,Autumn,2,3
SoB,BBA,BBA - Finance,101,2013,Autumn,2,3
SoB,BBA,BBA - General Management,16,2013,Autumn,2,3
SoB,BBA,BBA - Human Resources Management,26,2013,Autumn,2,3
SoB,BBA,BBA - International Business,25,2013,Autumn,2,3
SoB,BBA,BBA - Investment Management,2,2013,Autumn,2,3
SoB,BBA,BBA - Management Information Systems,2,2013,Autumn,2,3
